Range,Velocity,Energy,ComeUp,ComeUpMOA,ComeUpMrads,SpinDrift,SpinDriftMOA,SpinDriftMrads,WindDrift,WindDriftMOA,WindDriftMrads,TimeOfFlight,VerticalWindJump,VerticalWindJumpMOA,VerticalWindJumpMrads,TotalComeUp,TotalComeUpMOA,TotalComeUpMrads,TotalWindDrift,TotalWindDriftMOA,TotalWindDriftMrads,Gyro
"0","2790","1296.0922","-1.5007883","0","0","0","0","0","0","0","0","0","-0.00078833103","0","0","0","0","0","0","0","0","1.7416215"
"50","2656.952","1175.4248","0.21015677","0.40139943","0.116753764","-0.010553215","-0.02015664","-0.0058628973","0.4687392","0.89529186","0.26041067","0.055095103","0.3437551","0.6565722","0.19097506","0","0","0","0.458186","0.87513524","0.25454777","1.8694221"
"100","2528.1008","1064.183","0.68738234","0.6564501","0.19093953","-0.04401591","-0.042035196","-0.012226642","1.9179853","1.8316759","0.5327737","0.112975776","0.68738234","0.6564501","0.19093953","0","0","0","1.8739694","1.7896407","0.52054703","2.0100694"
"150","2402.6462","961.1854","-0.19402027","-0.123526216","-0.03592968","-0.10327383","-0.06575101","-0.019124784","4.4159613","2.8114946","0.8177704","0.17383577","1.0307989","0.65627533","0.19088869","0","0","0","4.3126874","2.7457435","0.7986456","2.1479619"
"200","2279.6104","865.2643","-2.5819106","-1.2328625","-0.35859874","-0.19135332","-0.09137121","-0.02657685","8.051992","3.8448246","1.1183318","0.23792882","1.37398","0.6560755","0.19083056","0","0","0","7.860639","3.7534533","1.0917549","2.3007193"
"250","2159.3198","776.357","-6.641629","-2.5371027","-0.7379589","-0.31155387","-0.11901358","-0.034617096","12.924776","4.937261","1.4360852","0.3055353","1.7168951","0.6558539","0.19076613","0","0","0","12.613222","4.8182473","1.4014682","2.4706802"
"300","2042.0813","694.3422","-12.567167","-4.00055","-1.163627","-0.4676823","-0.14887887","-0.043303918","19.144932","6.094464","1.7726771","0.37696937","2.059534","0.6556183","0.1906976","0","0","0","18.67725","5.945585","1.7293731","2.6614373"
"350","1928.1512","619.02716","-20.576704","-5.614504","-1.6330727","-0.663998","-0.1811766","-0.052698255","26.82959","7.3206344","2.1293294","0.45256376","2.4018536","0.6553629","0.1906233","0","0","0","26.165592","7.1394577","2.076631","2.8683333"
"400","1817.2041","549.83813","-30.924633","-7.3832636","-2.1475463","-0.9052749","-0.21613437","-0.06286631","36.112274","8.621787","2.5077915","0.5326976","2.7437782","0.6550771","0.19054016","0","0","0","35.207","8.405653","2.4449253","3.0712094"
"450","1709.3142","486.4871","-43.9053","-9.317695","-2.7102077","-1.1965054","-0.25392506","-0.073858365","47.146984","10.0056095","2.9102995","0.61780834","3.0853004","0.65476936","0.19045065","0","0","0","45.950478","9.751684","2.8364413","3.304871"
"500","1604.6466","428.7324","-59.861504","-11.433572","-3.3256464","-1.5434557","-0.29480004","-0.08574754","60.104317","11.479882","3.3391163","0.7083804","3.4263535","0.6544335","0.19035296","0","0","0","58.56086","11.185082","3.2533689","3.52299"
"550","1503.0432","376.1581","-79.1936","-13.750929","-3.9996886","-1.9520088","-0.33893973","-0.098586306","75.179405","13.053815","3.7969213","0.8049678","3.7669754","0.6540839","0.19025129","0","0","0","73.227394","12.714875","3.698335","3.7617395"
"600","1404.0205","328.22708","-102.377266","-16.295118","-4.7397084","-2.429022","-0.38661936","-0.11245473","92.60239","14.739122","4.2871213","0.9082244","4.1069717","0.653693","0.19013758","0","0","0","90.17336","14.352503","4.1746664","4.221343"
