Range,Velocity,Energy,ComeUp,ComeUpMOA,ComeUpMrads,SpinDrift,SpinDriftMOA,SpinDriftMrads,WindDrift,WindDriftMOA,WindDriftMrads,TimeOfFlight,VerticalWindJump,VerticalWindJumpMOA,VerticalWindJumpMrads,TotalComeUp,TotalComeUpMOA,TotalComeUpMrads,TotalWindDrift,TotalWindDriftMOA,TotalWindDriftMrads,Gyro
"0","2750","3693.638","-1.5009573","0","0","0","0","0","0","0","0","0","-0.0009572506","0","0","0","0","0","0","0","0","2.574331"
"25.000002","2714.147","3597.954","-0.6753962","-2.5800135","-0.7504402","-0.0031999764","-0.012223909","-0.003555529","0","0","0","0.02745376","-2.3841858E-07","-9.107589E-07","-2.6490952E-07","0","0","0","-0.0031999764","-0.012223909","-0.003555529","2.6219268"
"50","2678.5264","3504.1345","-0.14414255","-0.27531224","-0.0800792","-0.012835426","-0.024515664","-0.0071307924","0","0","0","0.055268705","3.412366E-06","6.5176187E-06","1.8957588E-06","0","0","0","-0.012835426","-0.024515664","-0.0071307924","2.67081"
"75.00001","2643.147","3412.1768","0.082896985","0.10555549","0.030702585","-0.029203124","-0.03718531","-0.0108159715","0","0","0","0.083456926","-2.0116568E-07","-2.5615094E-07","-7.45058E-08","0","0","0","-0.029203124","-0.03718531","-0.0108159715","2.7210112"
"100","2608.0105","3322.0613","0","0","0","-0.05246942","-0.050108295","-0.014574839","0","0","0","0.11202288","0","0","0","0","0","0","-0.05246942","-0.050108295","-0.014574839","2.772571"
"125","2573.1223","3233.7744","-0.40136808","-0.30664518","-0.089192905","-0.082865074","-0.06330891","-0.01841446","0","0","0","0.14097425","2.9206276E-06","2.2313593E-06","6.490283E-07","0","0","0","-0.082865074","-0.06330891","-0.01841446","2.8255284"
"150","2538.4858","3147.3018","-1.1304123","-0.7196958","-0.20933561","-0.12063857","-0.07680656","-0.022340477","0","0","0","0.17031938","7.1525574E-07","4.553795E-07","1.3245477E-07","0","0","0","-0.12063857","-0.07680656","-0.022340477","2.879925"
"175","2504.1045","3062.6248","-2.19641","-1.1986123","-0.3486365","-0.16604473","-0.09061298","-0.026356306","0","0","0","0.20006646","1.1920929E-06","6.505421E-07","1.892211E-07","0","0","0","-0.16604473","-0.09061298","-0.026356306","2.934504"
"200","2469.9443","2979.6365","-3.6088054","-1.7232046","-0.50122297","-0.21933325","-0.10473162","-0.03046295","0","0","0","0.23022386","1.1920929E-06","5.6922437E-07","1.6556847E-07","0","0","0","-0.21933325","-0.10473162","-0.03046295","2.986248"
"225.00002","2435.995","2898.289","-5.377155","-2.2823033","-0.66384625","-0.28073564","-0.11915667","-0.03465872","0","0","0","0.26080033","4.7683716E-07","2.0239088E-07","5.8868785E-08","0","0","0","-0.28073564","-0.11915667","-0.03465872","3.0395465"
"249.99998","2402.262","2818.5752","-7.5111623","-2.8692648","-0.8345738","-0.35048538","-0.13388543","-0.038942825","0","0","0","0.29180455","-4.7683716E-07","-1.8215181E-07","-5.298191E-08","0","0","0","-0.35048538","-0.13388543","-0.038942825","3.0944462"
"275","2368.7502","2740.4849","-10.0206585","-3.4799018","-1.0121878","-0.42882097","-0.14891782","-0.04331525","0","0","0","0.32324526","1.9073486E-06","6.623702E-07","1.9266149E-07","0","0","0","-0.42882097","-0.14891782","-0.04331525","3.1509984"
"300","2335.4653","2664.0095","-12.915873","-4.111554","-1.1959145","-0.5159914","-0.16425724","-0.04777698","0","0","0","0.35513127","1.9073486E-06","6.0717264E-07","1.7660635E-07","0","0","0","-0.5159914","-0.16425724","-0.04777698","3.2092547"
"325.00003","2302.4138","2589.141","-16.210915","-4.763516","-1.3855486","-0.61233765","-0.17993304","-0.052336544","0","0","0","0.38747576","0","0","0","0","0","0","-0.61233765","-0.17993304","-0.052336544","3.2692642"
"349.99997","2269.5989","2515.8638","-19.913177","-5.4334555","-1.5804117","-0.71804875","-0.19592474","-0.056988","0","0","0","0.4202839","3.8146973E-06","1.0408675E-06","3.0275376E-07","0","0","0","-0.71804875","-0.19592474","-0.056988","3.3310862"
"374.99994","2237.0269","2444.1694","-24.038319","-6.1217623","-1.7806174","-0.8335053","-0.21226604","-0.061741143","0","0","0","0.4535701","0","0","0","0","0","0","-0.8335053","-0.21226604","-0.061741143","3.3947728"
"399.99994","2204.6863","2374.0095","-28.59646","-6.82741","-1.9858669","-0.9589627","-0.2289524","-0.066594645","0","0","0","0.48734212","1.9073486E-06","4.5537956E-07","1.3245479E-07","0","0","0","-0.9589627","-0.2289524","-0.066594645","3.4615712"
"424.9999","2172.5564","2305.319","-33.600567","-7.5502534","-2.1961179","-1.0947344","-0.24599332","-0.071551286","0","0","0","0.52161115","0","0","0","0","0","0","-1.0947344","-0.24599332","-0.071551286","3.5307033"
"449.9999","2140.6438","2238.0908","-39.06435","-8.290333","-2.4113824","-1.2411506","-0.26339978","-0.076614246","0","0","0","0.5563892","0","0","0","0","0","0","-1.2411506","-0.26339978","-0.076614246","3.6020763"
"474.99988","2108.9546","2172.3176","-45.00175","-9.047733","-2.631685","-1.3985479","-0.28118178","-0.08178644","0","0","0","0.59168804","0","0","0","0","0","0","-1.3985479","-0.28118178","-0.08178644","3.6757638"
"499.99988","2077.4949","2107.9912","-51.42689","-9.822552","-2.857054","-1.5672704","-0.2993487","-0.0870706","0","0","0","0.6275194","3.8146973E-06","7.2860735E-07","2.1192767E-07","0","0","0","-1.5672704","-0.2993487","-0.0870706","3.7518432"
"524.9999","2046.2689","2045.099","-58.354153","-10.614917","-3.0875268","-1.7476711","-0.31790975","-0.09246939","0","0","0","0.6638951","3.8146973E-06","6.939118E-07","2.0183589E-07","0","0","0","-1.7476711","-0.31790975","-0.09246939","3.8304"
"549.9999","2015.283","1983.6316","-65.79967","-11.425238","-3.3232222","-1.9401459","-0.33687994","-0.09798718","0","0","0","0.7008282","0","0","0","0","0","0","-1.9401459","-0.33687994","-0.09798718","3.9115157"
"574.99976","1984.5421","1923.5768","-73.7798","-12.253893","-3.5642502","-2.1451006","-0.35627338","-0.10362809","0","0","0","0.73833185","7.6293945E-06","1.2671434E-06","3.685699E-07","0","0","0","-2.1451006","-0.35627338","-0.10362809","3.9952774"
"599.9998","1954.0511","1864.9224","-82.31024","-13.101082","-3.8106697","-2.3629265","-0.37609923","-0.109394774","0","0","0","0.7764184","0","0","0","0","0","0","-2.3629265","-0.37609923","-0.109394774","4.0817766"
"624.99976","1923.8074","1807.6405","-91.40786","-13.967164","-4.062584","-2.5940325","-0.3963683","-0.11529037","0","0","0","0.81510043","7.6293945E-06","1.1657719E-06","3.3908432E-07","0","0","0","-2.5940325","-0.3963683","-0.11529037","4.149234"
"649.99976","1893.8086","1751.7053","-101.09289","-14.852928","-4.320224","-2.838843","-0.4170917","-0.121318124","0","0","0","0.8543945","-7.6293945E-06","-1.1209345E-06","-3.260426E-07","0","0","0","-2.838843","-0.4170917","-0.121318124","4.21895"
"674.9997","1864.0593","1697.1038","-111.38222","-15.758582","-4.583648","-3.0976903","-0.43826604","-0.12747703","0","0","0","0.8943129","0","0","0","0","0","0","-3.0976903","-0.43826604","-0.12747703","4.291184"
