Range,Velocity,Energy,ComeUp,ComeUpMOA,ComeUpMrads,SpinDrift,SpinDriftMOA,SpinDriftMrads,WindDrift,WindDriftMOA,WindDriftMrads,TimeOfFlight,VerticalWindJump,VerticalWindJumpMOA,VerticalWindJumpMrads,TotalComeUp,TotalComeUpMOA,TotalComeUpMrads,TotalWindDrift,TotalWindDriftMOA,TotalWindDriftMrads,Gyro
"0","2700","2379.0913","-1.5002251","0","0","0","0","0","0","0","0","0","-0.00022506714","0","0","0","0","0","0","0","0","1.5705801"
"25","2664.6355","2317.177","-0.6046693","-2.3098369","-0.6718548","-0.0022731633","-0.008683484","-0.002525737","0.024147833","0.092244714","0.026830925","0.027962793","0.054331124","0.2075449","0.060367916","0","0","0","0.02187467","0.08356123","0.024305187","1.5990868"
"50","2629.3572","2256.2266","-0.013818249","-0.026392877","-0.00767681","-0.009134962","-0.017447779","-0.0050749793","0.09696667","0.18520634","0.053870372","0.056297","0.10864879","0.20751919","0.06036044","0","0","0","0.087831706","0.16775855","0.048795395","1.6284875"
"75.00001","2594.1685","2196.241","0.26368362","0.33575708","0.097660586","-0.020749027","-0.026420424","-0.0076848236","0.21976787","0.27983773","0.0813955","0.08501267","0.16285734","0.20737165","0.060317528","0","0","0","0.19901884","0.2534173","0.07371067","1.6588181"
"100.00001","2559.0781","2137.227","0.21688113","0.20712146","0.060244754","-0.03731071","-0.035631724","-0.010364085","0.39414388","0.37640738","0.109484404","0.11412191","0.21688113","0.20712146","0.060244754","0","0","0","0.35683316","0.34077567","0.09912032","1.6901119"
"125","2524.094","2079.192","-0.16133052","-0.123256505","-0.035851225","-0.058955636","-0.045042105","-0.013101252","0.6210337","0.47446975","0.13800749","0.14363192","0.27053517","0.20668888","0.06011893","0","0","0","0.5620781","0.42942765","0.12490624","1.7224038"
"150","2489.2258","2022.1443","-0.88054264","-0.56061214","-0.16306345","-0.08586133","-0.054665048","-0.015900247","0.90176284","0.57412237","0.16699313","0.1735529","0.3237077","0.20609389","0.05994587","0","0","0","0.8159015","0.51945734","0.15109289","1.7553183"
"175","2454.498","1966.115","-1.9505541","-1.0644453","-0.30961177","-0.11819514","-0.06450078","-0.018761134","1.2376442","0.6754001","0.19645146","0.20389491","0.37627006","0.20533594","0.059725408","0","0","0","1.119449","0.6108993","0.17769033","1.785759"
"200.00002","2419.9287","1911.1234","-3.3813853","-1.6146115","-0.46963686","-0.15611674","-0.07454573","-0.021682879","1.62997","0.7783106","0.2263847","0.23466785","0.4280553","0.20439638","0.05945212","0","0","0","1.4738532","0.70376486","0.20470183","1.817157"
"225.00002","2385.527","1857.1726","-5.185157","-2.200811","-0.6401428","-0.19981116","-0.08480873","-0.024668043","2.080289","0.882967","0.25682577","0.2658836","0.47864246","0.20315711","0.059091657","0","0","0","1.8804777","0.7981583","0.23215774","1.8495436"
