Range,Velocity,Energy,ComeUp,ComeUpMOA,ComeUpMrads,SpinDrift,SpinDriftMOA,SpinDriftMrads,WindDrift,WindDriftMOA,WindDriftMrads,TimeOfFlight,VerticalWindJump,VerticalWindJumpMOA,VerticalWindJumpMrads,TotalComeUp,TotalComeUpMOA,TotalComeUpMrads,TotalWindDrift,TotalWindDriftMOA,TotalWindDriftMrads,Gyro
"0","2700","3560.5452","-1.5582247","0","0","0","0","0","0","0","0","0","-0.058224678","0","0","0","0","0","0","0","0","3.394585"
"25","2673.5103","3491.0222","-0.5915662","-2.259783","-0.6572958","-0.0033467698","-0.012784661","-0.0037186332","0","0","0","0.027916137","0.002183795","0.0083420975","0.002426439","0","0","0","-0.0033467698","-0.012784661","-0.0037186332","3.4435527"
"50","2647.1655","3422.5605","-0.057717152","-0.11023977","-0.032065086","-0.013412804","-0.025618456","-0.007451558","0","0","0","0.056108087","0.004782848","0.00913524","0.0026571378","0","0","0","-0.013412804","-0.025618456","-0.007451558","3.4928017"
"75.00001","2620.9517","3355.111","0.12504613","0.15922539","0.04631338","-0.030396884","-0.038705364","-0.011258105","0","0","0","0.0845812","4.6133995E-05","5.8743946E-05","1.7086662E-05","0","0","0","-0.030396884","-0.038705364","-0.011258105","3.5415792"
"100","2594.866","3288.6587","0","0","0","-0.054496277","-0.05204394","-0.015137854","0","0","0","0.11334087","0","0","0","0","0","0","-0.054496277","-0.05204394","-0.015137854","3.5913517"
"125","2568.9092","3223.1934","-0.43886873","-0.3352957","-0.09752639","-0.085845485","-0.065585956","-0.019076776","0","0","0","0.14238988","0.0064437687","0.004923039","0.0014319486","0","0","0","-0.085845485","-0.065585956","-0.019076776","3.6421442"
"150","2543.0837","3158.7134","-1.1831324","-0.75326097","-0.21909858","-0.12463029","-0.07934795","-0.023079684","0","0","0","0.17173295","0.00436759","0.002780699","0.00080881297","0","0","0","-0.12463029","-0.07934795","-0.023079684","3.6939783"
"175","2517.3914","3095.212","-2.2568436","-1.2315917","-0.35822913","-0.17104","-0.09333897","-0.027149206","0","0","0","0.20137472","0.0009689331","0.0005287606","0.0001537989","0","0","0","-0.17104","-0.09333897","-0.027149206","3.7468746"
"200","2491.8342","3032.6843","-3.678042","-1.756265","-0.51083916","-0.22526757","-0.10756527","-0.031287163","0","0","0","0.23131987","0.001645565","0.0007857573","0.0002285507","0","0","0","-0.22526757","-0.10756527","-0.031287163","3.8008592"
"225","2466.4146","2971.1257","-5.4743786","-2.3235698","-0.6758493","-0.2875096","-0.12203184","-0.03549501","0","0","0","0.26157305","0.0021839142","0.0009269502","0.00026961902","0","0","0","-0.2875096","-0.12203184","-0.03549501","3.8559525"
"250","2441.1328","2910.5278","-7.6121893","-2.9078567","-0.84579897","-0.3579663","-0.13674313","-0.039774034","0","0","0","0.29213881","0.004998207","0.001909315","0.0005553563","0","0","0","-0.3579663","-0.13674313","-0.039774034","3.9121826"
