Range,Velocity,Energy,ComeUp,ComeUpMOA,ComeUpMrads,SpinDrift,SpinDriftMOA,SpinDriftMrads,WindDrift,WindDriftMOA,WindDriftMrads,TimeOfFlight,VerticalWindJump,VerticalWindJumpMOA,VerticalWindJumpMrads,TotalComeUp,TotalComeUpMOA,TotalComeUpMrads,TotalWindDrift,TotalWindDriftMOA,TotalWindDriftMrads,Gyro
"0","2790","1296.0922","-1.5009619","0","0","0","0","0","0","0","0","0","-0.00096189976","0","0","0","0","0","0","0","0","1.7429566"
"25","2722.7122","1234.3292","-0.88364947","-3.375738","-0.9818997","-0.002256835","-0.008621111","-0.0025075946","0","0","0","0.027214825","3.0517578E-05","0.000116577154","3.390842E-05","0","0","0","-0.002256835","-0.008621111","-0.0025075946","1.8076855"
"50","2656.48","1175.0073","-0.28839323","-0.5510254","-0.16027832","-0.009138163","-0.01745389","-0.005076757","0","0","0","0.05509988","0","0","0","0","0","0","-0.009138163","-0.01745389","-0.005076757","1.875651"
"75","2591.3293","1118.0796","0.039114915","0.049560547","0.014404297","-0.02100483","-0.02674615","-0.0077795666","0","0","0","0.08368759","0","0","0","0","0","0","-0.02100483","-0.02674615","-0.0077795666","1.947002"
"100","2527.2603","1063.4752","0.08753284","0.08337402","0.024230957","-0.03813172","-0.036415793","-0.010592145","0","0","0","0.11299561","0","0","0","0","0","0","-0.03813172","-0.036415793","-0.010592145","2.0219324"
"125.00001","2464.1428","1011.01886","-0.15878542","-0.1217041","-0.03540039","-0.06086035","-0.046497304","-0.013524521","0","0","0","0.14304954","0","0","0","0","0","0","-0.06086035","-0.046497304","-0.013524521","2.093225"
"150","2401.6543","960.39185","-0.7135502","-0.45431232","-0.13215694","-0.08951077","-0.056988522","-0.016576068","0","0","0","0.17387868","0.00024414062","0.0001554362","4.5211225E-05","0","0","0","-0.08951077","-0.056988522","-0.016576068","2.166097"
"175","2339.8196","911.57465","-1.5956771","-0.8709717","-0.25335693","-0.124411315","-0.06789303","-0.019747827","0","0","0","0.20551613","0","0","0","0","0","0","-0.124411315","-0.06789303","-0.019747827","2.2434955"
"200","2278.6836","864.5607","-2.821527","-1.3474176","-0.39193386","-0.16593328","-0.07923314","-0.023046289","0","0","0","0.23799844","0.00024414062","0.000116577154","3.390842E-05","0","0","0","-0.16593328","-0.07923314","-0.023046289","2.3257034"
"225.00002","2218.2815","819.33374","-4.409837","-1.8717041","-0.5444336","-0.21442378","-0.09101097","-0.02647207","0","0","0","0.27135682","0","0","0","0","0","0","-0.21442378","-0.09101097","-0.02647207","2.4126031"
"249.99998","2158.6477","775.8738","-6.378903","-2.4368896","-0.70880127","-0.27029878","-0.10325415","-0.030033201","0","0","0","0.30562973","0","0","0","0","0","0","-0.27029878","-0.10325415","-0.030033201","2.5032513"
"274.99997","2099.817","734.1593","-8.752795","-3.0397475","-0.884167","-0.33399132","-0.11598609","-0.0337365","0","0","0","0.34085748","0.00048828125","0.00016956677","4.9321345E-05","0","0","0","-0.33399132","-0.11598609","-0.0337365","2.5997026"
"300","2041.8214","694.16547","-11.555669","-3.6788664","-1.0700525","-0.4059495","-0.12922727","-0.03758792","0","0","0","0.37707976","-0.00048828125","-0.0001554362","-4.5211225E-05","0","0","0","-0.4059495","-0.12922727","-0.03758792","2.7023382"
"324.99997","1984.6901","655.8627","-14.808273","-4.3515625","-1.2657471","-0.48663956","-0.14299718","-0.041593127","0","0","0","0.4143356","0","0","0","0","0","0","-0.48663956","-0.14299718","-0.041593127","2.81157"
"349.99997","1928.4373","619.21075","-18.539625","-5.05896","-1.4714966","-0.57663256","-0.15733832","-0.04576449","0","0","0","0.45267355","0","0","0","0","0","0","-0.57663256","-0.15733832","-0.04576449","2.919708"
