Range,Velocity,Energy,ComeUp,ComeUpMOA,ComeUpMrads,SpinDrift,SpinDriftMOA,SpinDriftMrads,WindDrift,WindDriftMOA,WindDriftMrads,TimeOfFlight,VerticalWindJump,VerticalWindJumpMOA,VerticalWindJumpMrads,TotalComeUp,TotalComeUpMOA,TotalComeUpMrads,TotalWindDrift,TotalWindDriftMOA,TotalWindDriftMrads,Gyro
"0","2700","2379.0913","-1.5774484","0","0","0","0","0","0","0","0","0","-0.07744837","0","0","0","0","0","0","0","0","2.097222"
"25.000004","2673.8203","2333.1785","-0.8033078","-3.0687432","-0.89261204","-0.0019876016","-0.007592637","-0.002208446","0","0","0","0.027914543","-0.000579834","-0.0022149656","-0.0006442599","0","0","0","-0.0019876016","-0.007592637","-0.002208446","2.1284115"
"49.999943","2647.775","2287.9453","-0.22195713","-0.42403686","-0.12334527","-0.007966824","-0.01521665","-0.0044260183","0","0","0","0.056101635","0.002319336","0.004429937","0.0012885215","0","0","0","-0.007966824","-0.01521665","-0.0044260183","2.1601176"
"74.999985","2621.8086","2243.2905","0.09012668","0.114523925","0.03331163","-0.018059267","-0.02299547","-0.0066886186","0","0","0","0.084566735","-0.00036621094","-0.00046630867","-0.0001356337","0","0","0","-0.018059267","-0.02299547","-0.0066886186","2.1922348"
"100.00003","2595.904","2199.1802","0.13771757","0.13145997","0.03822835","-0.032384645","-0.030927327","-0.008995732","0","0","0","0.1133159","0.0029296875","0.0027978509","0.0008138019","0","0","0","-0.032384645","-0.030927327","-0.008995732","2.2251132"
"124.99998","2570.0647","2155.6174","-0.11841944","-0.09066113","-0.026380751","-0.051026184","-0.03898401","-0.011339154","0","0","0","0.14235255","-0.0017089844","-0.0013056643","-0.00037977437","0","0","0","-0.051026184","-0.03898401","-0.011339154","2.2587721"
"149.99997","2544.2944","2112.6047","-0.6402487","-0.4078703","-0.11863652","-0.07409786","-0.047175642","-0.013721827","0","0","0","0.17168196","-0.00024414062","-0.00015543621","-4.5211233E-05","0","0","0","-0.07409786","-0.047175642","-0.013721827","2.293233"
"174.99998","2518.5974","2070.1462","-1.4509269","-0.7920696","-0.23037477","-0.101716295","-0.05550804","-0.016145445","0","0","0","0.2013095","0.0009765625","0.00053292414","0.00015500993","0","0","0","-0.101716295","-0.05550804","-0.016145445","2.3285134"
"200.00003","2492.9775","2028.2445","-2.543917","-1.2148492","-0.35335964","-0.13400042","-0.06398519","-0.018611167","0","0","0","0.23124023","0.00024414062","0.000116577125","3.3908414E-05","0","0","0","-0.13400042","-0.06398519","-0.018611167","2.3646357"
"225.00005","2467.4382","1986.9008","-3.9393983","-1.6721148","-0.48636353","-0.17107256","-0.07261079","-0.021120066","0","0","0","0.26147985","0.0031738281","0.0013471134","0.00039183054","0","0","0","-0.17107256","-0.07261079","-0.021120066","2.4016216"
