	Name:	22 CCI Stinger		Altitude:	0	feet
	G1 BC:	0.365		Temperature:	59	øF
	Muzzle Vel:	2600	f/s	Pressure:	29.53	in Hg
	Sight Adj:	4.982	MOA	Humidity:	78	%
	Zeroed Rng:	100	yards	Wind Speed:	0	mph
	Bullet Wgt:	65.0	grains	Wind Dir:	12:00	O'clk
	Sight Height:	2.50	in	Range Slope:	0	deg
	Spin Drift:	Off
	Coriolis:	On
	Shooting Dir:	90.0	deg	Latitude:	-45.0	deg
	Close Zeroed Rng:	87.1	yards

				Report Trace

	Range	Velocity	Energy	Path	Drop	Drift	TOF	CDFC	Mntum	Zero Adj
	Yards	f/s	ft-lb	inches	inches	inches	sec	inches	lb-f/s	MOA
	0	2600	976	-2.50	0.00	0.00	0.00000	2.50	24.1	----
	50	2480	888	-0.55	-0.66	-0.01	0.05907	0.55	23.0	1.05
	100	2363	806	0.00	-2.72	-0.02	0.12103	0.00	21.9	0.00
	150	2249	731	-0.99	-6.32	-0.05	0.18609	0.99	20.9	0.63
	200	2139	660	-3.69	-11.63	-0.09	0.25448	3.69	19.9	1.76
	250	2031	596	-8.28	-18.82	-0.15	0.32644	8.28	18.9	3.16
	300	1927	536	-14.95	-28.10	-0.22	0.40226	14.95	17.9	4.76
	350	1826	482	-23.95	-39.71	-0.31	0.48222	23.95	17.0	6.53
	400	1729	432	-35.53	-53.90	-0.42	0.56663	35.53	16.1	8.48
	450	1636	387	-50.00	-70.98	-0.55	0.65581	50.00	15.2	10.61
	500	1548	346	-67.69	-91.27	-0.70	0.75009	67.69	14.4	12.93
	550	1464	309	-88.97	-115.17	-0.87	0.84977	88.97	13.6	15.45
	600	1385	277	-114.29	-143.09	-1.06	0.95513	114.29	12.9	18.19
	650	1313	249	-144.09	-175.51	-1.29	1.06641	144.09	12.2	21.17
	700	1247	224	-178.90	-212.92	-1.54	1.18372	178.90	11.6	24.41
	750	1188	204	-219.26	-255.89	-1.82	1.30706	219.26	11.0	27.92
	800	1136	186	-265.72	-304.96	-2.13	1.43627	265.72	10.6	31.72
	850	1092	172	-318.87	-360.71	-2.48	1.57103	318.87	10.1	35.82
	900	1054	160	-379.23	-423.69	-2.86	1.71095	379.23	9.8	40.24
	950	1022	151	-447.36	-494.42	-3.27	1.85562	447.36	9.5	44.97
	1000	993	142	-523.75	-573.42	-3.72	2.00473	523.75	9.2	50.01
	1050	967	135	-608.89	-661.17	-4.21	2.15802	608.89	9.0	55.38
	1100	944	129	-703.27	-758.16	-4.73	2.31528	703.27	8.8	61.05
	1150	922	123	-807.35	-864.85	-5.29	2.47638	807.35	8.6	67.04
	1200	902	117	-921.61	-981.71	-5.88	2.64119	921.61	8.4	73.34
	1250	883	113	-1046.5	-1109.2	-6.52	2.80965	1046.49	8.2	79.95
	1300	866	108	-1182.5	-1247.8	-7.20	2.98169	1182.47	8.0	86.86
	1350	849	104	-1330.0	-1398.0	-7.91	3.15728	1330.03	7.9	94.08
	1400	833	100	-1489.6	-1560.2	-8.67	3.33640	1489.62	7.7	101.61
	1450	818	96.5	-1661.7	-1734.9	-9.47	3.51903	1661.74	7.6	109.44
	1500	803	93.1	-1846.9	-1922.6	-10.32	3.70517	1846.88	7.5	117.58
	1550	789	89.8	-2045.5	-2123.9	-11.21	3.89483	2045.54	7.3	126.02
	1600	775	86.7	-2258.2	-2339.2	-12.14	4.08803	2258.23	7.2	134.78
	1650	762	83.8	-2485.5	-2569.1	-13.12	4.28479	2485.48	7.1	143.85
	1700	749	81.0	-2727.8	-2814.0	-14.15	4.48514	2727.82	7.0	153.23
	1750	737	78.4	-2985.8	-3074.6	-15.23	4.68911	2985.81	6.8	162.93
	1800	725	75.9	-3260.0	-3351.4	-16.36	4.89675	3260.01	6.7	172.95
	1850	713	73.5	-3551.0	-3645.0	-17.54	5.10810	3551.02	6.6	183.30
	1900	702	71.2	-3859.4	-3956.1	-18.77	5.32321	3859.44	6.5	193.97
	1950	691	69.0	-4185.9	-4285.1	-20.06	5.54214	4185.89	6.4	204.99
	2000	680	66.8	-4531.0	-4632.9	-21.40	5.76494	4531.02	6.3	216.34

