    Name:   22 CCI Stinger      Altitude:   0   feet
    G1 BC:  0.365       Temperature:    59  øF
    Muzzle Vel: 2600    f/s Pressure:   29.53   in Hg
    Sight Adj:  4.988   MOA Humidity:   78  %
    Zeroed Rng: 100 yards   Wind Speed: 0   mph
    Bullet Wgt: 65.0    grains  Wind Dir:   12:00   O'clk
    Sight Height:   2.50    in  Range Slope:    0   deg
    Spin Drift: Off
    Coriolis:   On
    Shooting Dir:   45.0    deg Latitude:   45.0    deg
    Close Zeroed Rng:   87.0    yards

                Report Trace

    Range   Velocity    Energy  Path    Drop    Drift   TOF CDFC    Mntum   Zero Adj
    Yards   f/s ft-lb   inches  inches  inches  sec inches  lb-f/s  MOA
    0   2600    976 -2.50   0.00    0.00    0.00000 2.50    24.1    ----
    50  2480    888 -0.55   -0.66   0.01    0.05907 0.55    23.0    1.05
    100 2363    806 0.00    -2.72   0.02    0.12103 0.00    21.9    0.00
    150 2249    731 -1.00   -6.34   0.05    0.18609 1.00    20.9    0.64
    200 2139    660 -3.71   -11.66  0.09    0.25448 3.71    19.9    1.77
    250 2031    596 -8.31   -18.87  0.15    0.32644 8.31    18.9    3.17
    300 1927    536 -15.00  -28.17  0.22    0.40226 15.00   17.9    4.78
    350 1826    482 -24.02  -39.81  0.31    0.48222 24.02   17.0    6.55
    400 1729    432 -35.64  -54.03  0.42    0.56663 35.64   16.1    8.51
    450 1636    387 -50.14  -71.15  0.55    0.65581 50.14   15.2    10.64
    500 1548    346 -67.88  -91.50  0.70    0.75009 67.88   14.4    12.96
    550 1464    309 -89.22  -115.45 0.87    0.84977 89.22   13.6    15.49
    600 1385    277 -114.60 -143.44 1.06    0.95513 114.60  12.9    18.24
    650 1313    249 -144.48 -175.94 1.29    1.06641 144.48  12.2    21.23
    700 1247    224 -179.38 -213.45 1.54    1.18372 179.38  11.6    24.47
    750 1188    204 -219.84 -256.52 1.82    1.30706 219.84  11.0    27.99
    800 1136    186 -266.42 -305.71 2.13    1.43627 266.42  10.6    31.80
    850 1092    172 -319.70 -361.60 2.48    1.57103 319.70  10.1    35.92
    900 1054    160 -380.22 -424.73 2.86    1.71095 380.22  9.8 40.34
    950 1022    151 -448.51 -495.64 3.27    1.85562 448.51  9.5 45.08
    1000    993 142 -525.09 -574.83 3.72    2.00473 525.09  9.2 50.14
    1050    967 135 -610.45 -662.80 4.21    2.15802 610.45  9.0 55.52
    1100    944 129 -705.06 -760.03 4.73    2.31528 705.06  8.8 61.21
    1150    922 123 -809.41 -866.98 5.29    2.47637 809.41  8.6 67.21
    1200    902 117 -923.94 -984.13 5.88    2.64119 923.94  8.4 73.53
    1250    883 113 -1049.1 -1111.9 6.52    2.80965 1049.14 8.2 80.15
    1300    866 108 -1185.5 -1250.9 7.20    2.98169 1185.46 8.0 87.08
    1350    849 104 -1333.4 -1401.4 7.91    3.15728 1333.38 7.9 94.32
    1400    833 100 -1493.4 -1564.0 8.67    3.33640 1493.37 7.7 101.86
    1450    818 96.5    -1665.9 -1739.2 9.47    3.51903 1665.92 7.6 109.71
    1500    803 93.1    -1851.5 -1927.4 10.32   3.70517 1851.52 7.5 117.87
    1550    789 89.8    -2050.7 -2129.1 11.21   3.89483 2050.67 7.3 126.34
    1600    775 86.7    -2263.9 -2345.0 12.14   4.08803 2263.88 7.2 135.12
    1650    762 83.8    -2491.7 -2575.4 13.12   4.28479 2491.69 7.1 144.21
    1700    749 81.0    -2734.6 -2820.9 14.15   4.48514 2734.63 7.0 153.61
    1750    737 78.4    -2993.3 -3082.2 15.23   4.68911 2993.26 6.8 163.33
    1800    725 75.9    -3268.1 -3359.7 16.36   4.89675 3268.14 6.7 173.38
    1850    713 73.5    -3559.9 -3654.0 17.54   5.10810 3559.87 6.6 183.75
    1900    702 71.2    -3869.0 -3965.8 18.77   5.32321 3869.05 6.5 194.46
    1950    691 69.0    -4196.3 -4295.7 20.06   5.54214 4196.31 6.4 205.50
    2000    680 66.8    -4542.3 -4644.3 21.40   5.76494 4542.29 6.3 216.88

