	Name:	22 CCI Stinger		Altitude:	0	feet
	G1 BC:	0.365		Temperature:	59	øF
	Muzzle Vel:	2600	f/s	Pressure:	29.53	in Hg
	Sight Adj:	5.026	MOA	Humidity:	78	%
	Zeroed Rng:	100	yards	Wind Speed:	0	mph
	Bullet Wgt:	65.0	grains	Wind Dir:	12:00	O'clk
	Sight Height:	2.50	in	Range Slope:	0	deg
	Spin Drift:	Off
	Coriolis:	On
	Shooting Dir:	270.0	deg	Latitude:	45.0	deg
	Close Zeroed Rng:	85.6	yards

				Report Trace

	Range	Velocity	Energy	Path	Drop	Drift	TOF	CDFC	Mntum	Zero Adj
	Yards	f/s	ft-lb	inches	inches	inches	sec	inches	lb-f/s	MOA
	0	2600	976	-2.50	0.00	0.00	0.00000	2.50	24.1	----
	50	2480	888	-0.54	-0.67	0.01	0.05907	0.54	23.0	1.03
	100	2363	806	0.00	-2.76	0.02	0.12103	0.00	21.9	0.00
	150	2249	731	-1.03	-6.43	0.05	0.18609	1.03	20.9	0.66
	200	2139	660	-3.80	-11.82	0.09	0.25448	3.80	19.9	1.81
	250	2031	596	-8.48	-19.14	0.15	0.32644	8.48	18.9	3.24
	300	1927	536	-15.29	-28.58	0.22	0.40226	15.29	17.9	4.87
	350	1826	482	-24.46	-40.38	0.31	0.48222	24.46	17.0	6.67
	400	1729	432	-36.25	-54.81	0.42	0.56663	36.25	16.1	8.65
	450	1636	387	-50.99	-72.17	0.55	0.65581	50.99	15.2	10.82
	500	1548	346	-68.99	-92.81	0.70	0.75009	68.99	14.4	13.18
	550	1464	309	-90.66	-117.10	0.87	0.84977	90.66	13.6	15.74
	600	1385	277	-116.42	-145.50	1.06	0.95513	116.42	12.9	18.53
	650	1313	249	-146.75	-178.46	1.29	1.06641	146.75	12.2	21.56
	700	1247	224	-182.16	-216.50	1.54	1.18372	182.16	11.6	24.85
	750	1188	204	-223.22	-260.19	1.82	1.30706	223.22	11.0	28.42
	800	1136	186	-270.49	-310.09	2.13	1.43627	270.49	10.6	32.29
	850	1092	172	-324.54	-366.77	2.48	1.57103	324.54	10.1	36.46
	900	1054	160	-385.94	-430.81	2.86	1.71095	385.94	9.8	40.95
	950	1022	151	-455.23	-502.73	3.27	1.85562	455.23	9.5	45.76
	1000	993	142	-532.93	-583.06	3.72	2.00473	532.93	9.2	50.89
	1050	967	135	-619.52	-672.29	4.21	2.15802	619.52	9.0	56.34
	1100	944	129	-715.51	-770.90	4.73	2.31528	715.51	8.8	62.11
	1150	922	123	-821.36	-879.39	5.29	2.47637	821.36	8.6	68.20
	1200	902	117	-937.56	-998.21	5.88	2.64119	937.56	8.4	74.61
	1250	883	113	-1064.6	-1127.8	6.52	2.80965	1064.56	8.2	81.33
	1300	866	108	-1202.9	-1268.8	7.20	2.98169	1202.85	8.0	88.36
	1350	849	104	-1352.9	-1421.5	7.91	3.15728	1352.91	7.9	95.70
	1400	833	100	-1515.2	-1586.4	8.67	3.33640	1515.20	7.7	103.35
	1450	818	96.5	-1690.2	-1764.1	9.47	3.51902	1690.24	7.6	111.31
	1500	803	93.1	-1878.5	-1955.0	10.32	3.70517	1878.51	7.5	119.59
	1550	789	89.8	-2080.5	-2159.6	11.21	3.89483	2080.53	7.3	128.18
	1600	775	86.7	-2296.8	-2378.5	12.14	4.08803	2296.82	7.2	137.08
	1650	762	83.8	-2527.9	-2612.2	13.12	4.28479	2527.90	7.1	146.30
	1700	749	81.0	-2774.3	-2861.3	14.15	4.48514	2774.34	7.0	155.84
	1750	737	78.4	-3036.7	-3126.3	15.23	4.68911	3036.68	6.8	165.70
	1800	725	75.9	-3315.5	-3407.7	16.36	4.89675	3315.52	6.7	175.89
	1850	713	73.5	-3611.4	-3706.3	17.54	5.10810	3611.44	6.6	186.41
	1900	702	71.2	-3925.1	-4022.6	18.77	5.32321	3925.06	6.5	197.27
	1950	691	69.0	-4257.0	-4357.1	20.06	5.54214	4257.02	6.4	208.47
	2000	680	66.8	-4608.0	-4710.7	21.40	5.76494	4607.97	6.3	220.01

