Name,Bullet,MuzzleVelocity,BarrelTwist,BoreDiameter,SightHeight,WindSpeed,WindAngle,Altitude,Pressure,Temperature,Humidity,ShootingAngle,BC_G1,BC_G7
B1_baseline_01,HORNADY 30 CAL 220 GR ELD-X,2600,7.00,0.308,1.50,0,90,0,29.92,59,50,0,0.650,0.325
B1_baseline_02,HORNADY 6.5 MM 147 GR ELD MATCH,2700,8.00,0.264,1.50,0,90,0,29.92,59,50,0,0.697,0.351
B1_baseline_03,HORNADY 22 CAL 75 GR BTHP,2790,8.00,0.224,1.50,0,90,0,29.92,59,50,0,0.395,
B1_baseline_04,HORNADY 30 CAL 220 GR ELD-X,2600,7.00,0.308,1.50,0,90,0,29.92,59,50,0,0.650,0.325
B1_baseline_05,HORNADY 6.5 MM 147 GR ELD MATCH,2700,8.00,0.264,1.50,0,90,0,29.92,59,50,0,0.697,0.351
B1_baseline_06,HORNADY 22 CAL 75 GR BTHP,2790,8.00,0.224,1.50,0,90,0,29.92,59,50,0,0.395,
B1_baseline_07,HORNADY 30 CAL 220 GR ELD-X,2650,7.00,0.308,1.50,0,90,0,29.92,59,50,0,0.650,0.325
B1_baseline_08,HORNADY 6.5 MM 147 GR ELD MATCH,2750,8.00,0.264,1.50,0,90,0,29.92,59,50,0,0.697,0.351
B1_baseline_09,HORNADY 22 CAL 75 GR BTHP,2850,8.00,0.224,1.50,0,90,0,29.92,59,50,0,0.395,
B1_baseline_10,HORNADY 30 CAL 220 GR ELD-X,2550,7.00,0.308,1.50,0,90,0,29.92,59,50,0,0.650,0.325
B1_baseline_11,HORNADY 6.5 MM 147 GR ELD MATCH,2650,8.00,0.264,1.50,0,90,0,29.92,59,50,0,0.697,0.351
B1_baseline_12,HORNADY 22 CAL 75 GR BTHP,2740,8.00,0.224,1.50,0,90,0,29.92,59,50,0,0.395,
B1_baseline_13,HORNADY 30 CAL 220 GR ELD-X,2600,7.00,0.308,2.00,0,90,0,29.92,59,50,0,0.650,0.325
B1_baseline_14,HORNADY 6.5 MM 147 GR ELD MATCH,2700,8.00,0.264,2.00,0,90,0,29.92,59,50,0,0.697,0.351
B1_baseline_15,HORNADY 22 CAL 75 GR BTHP,2790,8.00,0.224,2.00,0,90,0,29.92,59,50,0,0.395,
