run,coriolis,latitude_deg,azimuth_deg,range_yd,drop_in,windage_in,drop_moa,windage_moa,tof_s,velocity_fps
R0,off,,,500,,,,,,
R0,off,,,1000,,,,,,
R0,off,,,1500,,,,,,
R0,off,,,2000,,,,,,
R1,on,45,0,500,,,,,,
R1,on,45,0,1000,,,,,,
R1,on,45,0,1500,,,,,,
R1,on,45,0,2000,,,,,,
R2,on,45,90,500,,,,,,
R2,on,45,90,1000,,,,,,
R2,on,45,90,1500,,,,,,
R2,on,45,90,2000,,,,,,
R3,on,45,270,500,,,,,,
R3,on,45,270,1000,,,,,,
R3,on,45,270,1500,,,,,,
R3,on,45,270,2000,,,,,,
R4,on,30,0,500,,,,,,
R4,on,30,0,1000,,,,,,
R4,on,30,0,1500,,,,,,
R4,on,30,0,2000,,,,,,
R5,on,60,0,500,,,,,,
R5,on,60,0,1000,,,,,,
R5,on,60,0,1500,,,,,,
R5,on,60,0,2000,,,,,,
R6,on,90,0,500,,,,,,
R6,on,90,0,1000,,,,,,
R6,on,90,0,1500,,,,,,
R6,on,90,0,2000,,,,,,
R7,on,0,0,500,,,,,,
R7,on,0,0,1000,,,,,,
R7,on,0,0,1500,,,,,,
R7,on,0,0,2000,,,,,,
R8,on,-45,0,500,,,,,,
R8,on,-45,0,1000,,,,,,
R8,on,-45,0,1500,,,,,,
R8,on,-45,0,2000,,,,,,
R9,on,-45,90,500,,,,,,
R9,on,-45,90,1000,,,,,,
R9,on,-45,90,1500,,,,,,
R9,on,-45,90,2000,,,,,,
